"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
566,"1","2024-04-26T23:44:35.760555Z",537,"/data/upload/8/9dc944da-img189.jpg","[{""x"":79.52,""y"":51.857614678899075,""width"":9.600000000000009,""height"":19.164770642201837,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.087,"2024-04-26T23:44:35.760570Z"
567,"1","2024-04-26T23:44:44.029566Z",538,"/data/upload/8/c8b7fc79-img188.jpg","[{""x"":82.08,""y"":20.855779816513756,""width"":11.68000000000004,""height"":20.855779816513778,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",8.73,"2024-04-26T23:44:51.737439Z"
568,"1","2024-04-26T23:45:04.598157Z",539,"/data/upload/8/8621ab37-img187.jpg","[{""x"":14.24,""y"":14.937247706422015,""width"":12.799999999999999,""height"":25.083302752293577,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",7.682,"2024-04-26T23:45:04.598190Z"
569,"1","2024-04-26T23:45:12.185062Z",540,"/data/upload/8/797f7448-img186.jpg","[{""x"":8.959999999999999,""y"":44.52990825688073,""width"":12.640000000000002,""height"":23.674128440366957,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.087,"2024-04-26T23:45:12.185077Z"
570,"1","2024-04-27T01:39:15.414717Z",541,"/data/upload/8/1859c8ea-img184.jpg","[{""x"":42.72,""y"":51.857614678899075,""width"":14.240000000000002,""height"":25.92880733944954,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",15.107,"2024-04-27T01:39:15.414733Z"
571,"1","2024-04-27T01:39:34.983385Z",542,"/data/upload/8/e02ae753-img183.jpg","[{""x"":34.08,""y"":23.95596330275229,""width"":16.480000000000004,""height"":31.283669724770636,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",8.05,"2024-04-27T01:39:34.983399Z"
572,"1","2024-04-27T01:39:40.824802Z",543,"/data/upload/8/498252ea-img182.jpg","[{""x"":34.08,""y"":16.628256880733943,""width"":14.880000000000003,""height"":29.59266055045871,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.596,"2024-04-27T01:39:40.824817Z"
573,"1","2024-04-27T01:44:12.907925Z",545,"/data/upload/8/13fd2970-img180.jpg","[{""x"":60.8,""y"":19.446605504587154,""width"":10.240000000000009,""height"":20.573944954128436,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.95,"2024-04-27T01:44:12.907951Z"
574,"1","2024-04-27T01:44:17.397075Z",546,"/data/upload/8/eabde77d-img178.jpg","[{""x"":70.24000000000001,""y"":25.646972477064217,""width"":6.559999999999988,""height"":12.68256880733945,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.664,"2024-04-27T01:44:17.397090Z"
575,"1","2024-04-27T01:44:22.190514Z",547,"/data/upload/8/f3f5a6c2-img177.jpg","[{""x"":65.28,""y"":25.083302752293573,""width"":7.359999999999999,""height"":13.246238532110095,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.168,"2024-04-27T01:44:22.190541Z"
576,"1","2024-04-27T01:44:28.352002Z",548,"/data/upload/8/1d989751-img176.jpg","[{""x"":66.40000000000002,""y"":32.41100917431191,""width"":7.3600000000000385,""height"":13.809908256880728,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.017,"2024-04-27T01:44:28.352016Z"
577,"1","2024-04-27T01:44:33.757814Z",549,"/data/upload/8/6b824fa5-img175.jpg","[{""x"":43.04,""y"":27.619816513761464,""width"":7.840000000000003,""height"":14.091743119266056,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.493,"2024-04-27T01:44:33.757830Z"
578,"1","2024-04-27T01:44:40.045042Z",550,"/data/upload/8/233fc7f3-img173.jpg","[{""x"":55.67999999999999,""y"":38.32954128440367,""width"":10.72,""height"":17.755596330275225,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.672,"2024-04-27T01:44:40.045071Z"
579,"1","2024-04-27T01:44:45.725837Z",551,"/data/upload/8/827f93d8-img171.jpg","[{""x"":77.12,""y"":28.747155963302752,""width"":11.36,""height"":20.573944954128436,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.962,"2024-04-27T01:44:45.725852Z"
580,"1","2024-04-27T01:44:49.976493Z",552,"/data/upload/8/4cd2af14-img170.jpg","[{""x"":59.519999999999996,""y"":32.97467889908256,""width"":11.36,""height"":19.164770642201837,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.549,"2024-04-27T01:44:49.976527Z"
581,"1","2024-04-27T01:44:59.660493Z",553,"/data/upload/8/d17df409-img167.jpg","[{""x"":64.48,""y"":37.76587155963303,""width"":8.479999999999988,""height"":16.06458715596327,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",7.421,"2024-04-27T01:44:59.660505Z"
582,"1","2024-04-27T01:45:22.840986Z",554,"/data/upload/8/c69489a7-img166.jpg","[{""x"":78.72000000000001,""y"":46.502752293577984,""width"":10.560000000000045,""height"":18.319266055045873,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",16.579,"2024-04-27T01:45:22.840999Z"
583,"1","2024-04-27T01:45:29.996324Z",555,"/data/upload/8/9ab053cb-img163.jpg","[{""x"":77.11999999999999,""y"":38.61137614678897,""width"":14.39999999999996,""height"":23.67412844036697,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",6.048,"2024-04-27T01:45:29.996337Z"
584,"1","2024-04-27T01:45:34.319929Z",556,"/data/upload/8/ea299923-img162.jpg","[{""x"":49.76,""y"":43.96623853211008,""width"":8.960000000000008,""height"":18.601100917431197,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.412,"2024-04-27T01:45:34.319955Z"
585,"1","2024-04-27T01:45:38.565592Z",557,"/data/upload/8/928fcd98-img161.jpg","[{""x"":50.4,""y"":52.1394495412844,""width"":10.240000000000009,""height"":19.164770642201837,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.49,"2024-04-27T01:45:38.565607Z"
586,"1","2024-04-27T01:45:45.155073Z",558,"/data/upload/8/5f819192-img158.jpg","[{""x"":4.32,""y"":6.4822018348623835,""width"":13.28,""height"":23.11045871559632,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.926,"2024-04-27T01:45:45.155086Z"
587,"1","2024-04-27T01:46:00.293041Z",559,"/data/upload/8/60fbf483-img157.jpg","[{""x"":3.6799999999999997,""y"":32.129174311926576,""width"":12.160000000000009,""height"":20.85577981651376,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",14.399,"2024-04-27T01:46:00.293055Z"
588,"1","2024-04-27T01:46:06.984030Z",560,"/data/upload/8/e4cb99ef-img154.jpg","[{""x"":22.08,""y"":56.3669724770642,""width"":11.519999999999978,""height"":18.882935779816503,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.216,"2024-04-27T01:46:06.984060Z"
589,"1","2024-04-27T01:46:25.616789Z",561,"/data/upload/8/52d9e8de-img153.jpg","[{""x"":18.4,""y"":35.79302752293578,""width"":12.160000000000004,""height"":21.137614678899073,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",5.403,"2024-04-27T01:46:25.616803Z"
590,"1","2024-04-27T01:46:29.629886Z",562,"/data/upload/8/f38a21de-img150.jpg","[{""x"":55.36,""y"":29.028990825688073,""width"":12.960000000000008,""height"":23.110458715596327,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.28,"2024-04-27T01:46:29.629962Z"
591,"1","2024-04-27T01:46:35.458693Z",563,"/data/upload/8/51236d3e-img149.jpg","[{""x"":41.44,""y"":50.730275229357794,""width"":6.399999999999999,""height"":10.99155963302752,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.622,"2024-04-27T01:46:35.458708Z"
592,"1","2024-04-27T01:46:39.587390Z",564,"/data/upload/8/744c41d7-img145.jpg","[{""x"":83.2,""y"":36.356697247706414,""width"":9.920000000000002,""height"":15.782752293577985,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.34,"2024-04-27T01:46:39.587417Z"
593,"1","2024-04-27T01:46:44.634499Z",565,"/data/upload/8/7689c896-img144.jpg","[{""x"":46.08,""y"":40.866055045871555,""width"":8,""height"":13.809908256880732,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.359,"2024-04-27T01:46:44.634512Z"
594,"1","2024-04-27T01:46:49.269127Z",566,"/data/upload/8/cbc394a9-img143.jpg","[{""x"":45.92,""y"":72.1497247706422,""width"":6.399999999999999,""height"":11.837064220183478,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.838,"2024-04-27T01:46:49.269153Z"
595,"1","2024-04-27T01:46:53.477585Z",567,"/data/upload/8/656ec4f0-img142.jpg","[{""x"":52,""y"":41.993394495412836,""width"":7.68,""height"":14.655412844036697,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.458,"2024-04-27T01:46:53.477601Z"
596,"1","2024-04-27T01:46:58.337514Z",568,"/data/upload/8/0a6599ad-img141.jpg","[{""x"":51.68000000000001,""y"":60.31266055045871,""width"":10.079999999999998,""height"":18.882935779816513,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",4.145,"2024-04-27T01:46:58.337539Z"
597,"1","2024-04-27T01:47:02.594051Z",569,"/data/upload/8/f26ba2f5-img140.jpg","[{""x"":33.44,""y"":47.34825688073394,""width"":4.960000000000001,""height"":9.300550458715591,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.406,"2024-04-27T01:47:02.594087Z"
598,"1","2024-04-27T01:47:07.122310Z",570,"/data/upload/8/133741d7-img139.jpg","[{""x"":26.88,""y"":43.120733944954125,""width"":5.279999999999998,""height"":9.300550458715598,""rotation"":0,""rectanglelabels"":[""U""],""original_width"":384,""original_height"":218}]",3.78,"2024-04-27T01:47:07.122325Z"
